doc_idx,n_tokens,n_spans_computed,n_selected_multi,n_ner_entities
0,256,1265,61,25
1,256,1265,57,28
2,256,1265,59,35
3,256,1265,60,28
4,256,1265,60,22
5,160,785,40,19
6,256,1265,63,36
7,256,1265,57,25
8,256,1265,59,35
9,126,615,30,4
10,256,1265,53,36
11,256,1265,61,33
12,121,590,30,18
13,81,390,17,11
14,256,1265,58,29
15,256,1265,64,38
16,256,1265,58,21
17,109,530,26,13
18,176,865,46,25
19,163,800,39,16
20,55,260,12,7
21,256,1265,56,37
22,256,1265,69,36
23,256,1265,57,22
24,256,1265,60,20
25,256,1265,68,26
26,256,1265,68,17
27,120,585,28,18
28,256,1265,59,44
29,116,565,24,14
30,250,1235,59,28
31,94,455,18,11
32,79,380,21,8
33,214,1055,50,26
34,256,1265,65,41
35,119,580,29,10
36,256,1265,59,20
37,256,1265,60,36
38,200,985,48,16
39,256,1265,59,36
40,256,1265,67,28
41,256,1265,58,35
42,256,1265,59,33
43,256,1265,70,28
44,256,1265,59,30
45,89,430,21,6
46,256,1265,60,27
47,256,1265,63,29
48,167,820,44,12
49,256,1265,63,11
50,256,1265,54,29
51,256,1265,57,0
52,47,220,12,7
53,248,1225,56,24
54,256,1265,62,59
55,46,215,11,4
56,167,820,37,16
57,256,1265,65,27
58,144,705,37,12
59,58,275,14,5
60,190,935,44,24
61,256,1265,63,28
62,256,1265,63,39
63,123,600,28,7
64,256,1265,57,31
65,256,1265,59,37
66,91,440,18,11
67,256,1265,62,9
68,114,555,28,9
69,144,705,34,14
70,256,1265,59,9
71,256,1265,62,5
72,116,565,26,12
73,194,955,47,22
74,256,1265,62,25
75,176,865,36,19
76,256,1265,64,25
77,76,365,17,1
78,256,1265,59,24
79,256,1265,59,29
80,60,285,13,7
81,256,1265,67,1
82,256,1265,64,32
83,176,865,42,24
84,256,1265,58,14
85,256,1265,61,12
86,256,1265,56,27
87,256,1265,56,20
88,256,1265,60,25
89,72,345,18,5
90,124,605,28,16
91,256,1265,56,33
92,158,775,35,15
93,256,1265,60,22
94,256,1265,59,9
95,256,1265,64,34
96,256,1265,61,19
97,256,1265,60,24
98,256,1265,60,30
99,256,1265,66,27
100,192,945,47,15
101,256,1265,61,4
102,256,1265,55,29
103,256,1265,63,22
104,235,1160,54,25
105,27,120,5,3
106,256,1265,62,46
107,256,1265,60,17
108,256,1265,61,34
109,256,1265,61,12
110,131,640,31,8
111,256,1265,68,33
112,256,1265,57,24
113,256,1265,58,24
114,256,1265,61,37
115,191,940,39,20
116,256,1265,62,4
117,108,525,22,8
118,256,1265,60,14
119,256,1265,60,20
120,256,1265,58,23
121,70,335,13,5
122,122,595,29,13
123,256,1265,63,17
124,234,1155,60,25
125,256,1265,60,27
126,154,755,35,17
127,121,590,31,20
128,256,1265,56,31
129,256,1265,56,50
130,256,1265,55,15
131,256,1265,58,34
132,256,1265,60,20
133,256,1265,61,27
134,80,385,19,8
135,256,1265,65,28
136,256,1265,54,25
137,85,410,19,4
138,184,905,39,16
139,256,1265,66,27
140,256,1265,63,16
141,168,825,39,18
142,151,740,37,19
143,80,385,19,10
144,244,1205,57,24
145,256,1265,69,36
146,256,1265,62,20
147,120,585,32,12
148,135,660,36,14
149,256,1265,60,17
