text,count,mean_combined_score,std_combined_score,max_combined_score,mean_comp_deviation,mean_norm_shift,n_tokens
use of the same serum,1,1.257134323098392,0.0,1.257134323098392,0.291015625,2.5605604171209797,5
", Alaska, United States.",1,1.2556620164848604,0.0,1.2556620164848604,0.298828125,2.461786877149651,4
of Corrections,1,1.2529520615298284,0.0,1.2529520615298284,0.34326171875,2.456476833512071,2
th century and 1,1,1.2520455899525735,0.0,1.2520455899525735,0.6181640625,2.0344566262486214,4
appia suaedifolia,1,1.2507164882166808,0.0,1.2507164882166808,0.4970703125,2.2087614353854517,2
After the Space Shuttle,1,1.249968642399462,0.0,1.249968642399462,0.3046875,2.393842504436155,4
Sean Hannity,1,1.248687189330337,0.0,1.248687189330337,0.341796875,2.3498673873883424,2
Anchises,1,1.2477814288782056,0.0,1.2477814288782056,0.3701171875,2.4724809159455137,1
embezzling,1,1.2475396268967422,0.0,1.2475396268967422,0.5166015625,2.2937758250543556,1
city was partitioned in,1,1.2451199596279128,0.0,1.2451199596279128,0.47412109375,2.279792086569782,4
".

In 1",1,1.2449626519591175,0.0,1.2449626519591175,0.543212890625,2.1682537978665435,3
It was the club',1,1.2396322219813902,0.0,1.2396322219813902,0.458984375,2.260945789328476,4
Armaan Verma,1,1.2382715965279518,0.0,1.2382715965279518,0.42333984375,2.2823244991323794,2
".

Commerc",1,1.238196322246805,0.0,1.238196322246805,0.620849609375,2.0572217626482625,2
", Stevo Pearce",1,1.2377632383358632,0.0,1.2377632383358632,0.36376953125,2.384569228652158,3
s Home Companion.,1,1.2356322097100807,0.0,1.2356322097100807,0.49658203125,2.1077267645095765,3
knee-breeches,1,1.2342773421442543,0.0,1.2342773421442543,0.44970703125,2.3614501912981356,1
巡视,1,1.232183955339687,0.0,1.232183955339687,0.41357421875,2.344742114911717,1
s basketball team.,1,1.2299650058616296,0.0,1.2299650058616296,0.5849609375,2.0234598779353234,3
2016 was,1,1.2293068297943444,0.0,1.2293068297943444,0.2998046875,2.3170109709702356,2
–29 UCLA,1,1.2281151992095545,0.0,1.2281151992095545,0.3662109375,2.2856200292738857,2
", studying for a Ph.",1,1.2277934673805055,0.0,1.2277934673805055,0.62060546875,1.9896496840762632,5
hill above the settlement.,1,1.2276297585131077,0.0,1.2276297585131077,0.656005859375,1.9335610906187066,4
of Bendigo,1,1.2268592665371132,0.0,1.2268592665371132,0.41943359375,2.2890719944677826,2
Jacques Krauss.,1,1.2265262590790629,0.0,1.2265262590790629,0.519775390625,2.0553827253343755,2
latitudes and longitudes,1,1.2261873295401984,0.0,1.2261873295401984,0.20263671875,2.552406800412996,3
antidote,1,1.2251908846822277,0.0,1.2251908846822277,0.4365234375,2.2947887351430696,1
"area.

U.",1,1.2225754021359423,0.0,1.2225754021359423,0.4833984375,2.1265984174492307,2
"90 m
Height",1,1.2198183660562252,0.0,1.2198183660562252,0.3349609375,2.312851579203063,3
s distant from the Sun.,1,1.2197670948423662,0.0,1.2197670948423662,0.36474609375,2.3682653933559155,5
north of the county seat,1,1.219032711943528,0.0,1.219032711943528,0.208984375,2.46835814704632,5
Kokand Khanate,1,1.2183474731866577,0.0,1.2183474731866577,0.43896484375,2.268158722029144,2
Loja Province).,1,1.218304435411905,0.0,1.218304435411905,0.3798828125,2.183715800443825,2
Black Lives Matter,1,1.2152864677349995,0.0,1.2152864677349995,0.37646484375,2.3420491771499985,3
play for the program.,1,1.2141892296140608,0.0,1.2141892296140608,0.31201171875,2.397777761535152,4
faculties,1,1.209275710402285,0.0,1.209275710402285,0.3486328125,2.3977009947557124,1
lawn jockey. Jenson,1,1.2085205198458504,0.0,1.2085205198458504,0.46435546875,2.129516631645876,3
-fashioned,1,1.2075790212136797,0.0,1.2075790212136797,0.28466796875,2.498439740534199,1
& Survive,1,1.2060977785450984,0.0,1.2060977785450984,0.458984375,2.150254211987746,2
", Michigan facility in 1",1,1.2056561231446525,0.0,1.2056561231446525,0.5615234375,1.986613452392881,5
Blanchfield',1,1.2038574040158863,0.0,1.2038574040158863,0.376953125,2.186279252227216,1
work started in January 2,1,1.2037015378228255,0.0,1.2037015378228255,0.533203125,2.0251840203383136,5
ix). In the children',1,1.2032180206396021,0.0,1.2032180206396021,0.380859375,2.2117804031615047,4
and minor league baseball player.,1,1.1991890387109967,0.0,1.1991890387109967,0.514892578125,2.1238270889649913,5
specific wording in Article,1,1.1988450136441298,0.0,1.1988450136441298,0.38720703125,2.2090876317665744,4
instead using a Doepfer,1,1.1959269515754238,0.0,1.1959269515754238,0.330078125,2.232737300813559,4
ati is on Arkansas Highway,1,1.195644738220746,0.0,1.195644738220746,0.49853515625,2.099646513520615,5
American writer.,1,1.1954558789167933,0.0,1.1954558789167933,0.34375,2.190574511745108,2
is returned and errno,1,1.1948242656141161,0.0,1.1948242656141161,0.18994140625,2.5272217968477904,4
łowo-Handlowy,1,1.194253341928907,0.0,1.194253341928907,0.3515625,2.366370659509767,1
Places in,1,1.1940367168376482,0.0,1.1940367168376482,0.37255859375,2.1817470655316207,2
continues due east to SH-,1,1.1936227571577112,0.0,1.1936227571577112,0.585205078125,1.9714836507067777,5
United States House of Representatives,1,1.1926901844990028,0.0,1.1926901844990028,0.2763671875,2.300695187810007,5
Concepts also sued,1,1.1912694027661666,0.0,1.1912694027661666,0.44140625,2.1609127647279163,3
"3 m
Width",1,1.1911112435294937,0.0,1.1911112435294937,0.2744140625,2.2638193685893593,3
Belfast,1,1.1899189290385963,0.0,1.1899189290385963,0.39404296875,2.26788814290899,1
Beara,2,1.189761675728533,0.04948692369912722,1.23924859942766,0.16796875,2.484169814321332,1
heat-seeking missile,1,1.1896026564330506,0.0,1.1896026564330506,0.3740234375,2.2367019535826267,2
final since defeat in 1,1,1.189361947893942,0.0,1.189361947893942,0.58984375,1.980484947859855,5
"film, a growth serum",1,1.1883831883357185,0.0,1.1883831883357185,0.3056640625,2.3619491817767964,4
"Sinha, and starring",1,1.1881479883916393,0.0,1.1881479883916393,0.38671875,2.1544520022290983,3
-Bretonneux,1,1.186927356909884,0.0,1.186927356909884,0.504638671875,2.1070889000872093,1
3.772.,1,1.1868268272068767,0.0,1.1868268272068767,0.32958984375,2.313014333642191,1
Power to weight ratio,1,1.186793771210648,0.0,1.186793771210648,0.462890625,2.22259966240162,4
ian scriptwriter Zidrou,1,1.1856350207267472,0.0,1.1856350207267472,0.43798828125,2.1514654815043674,3
20 November 1,1,1.1848399484350576,0.0,1.1848399484350576,0.48583984375,2.015169939447019,3
facing hillside overlooking,1,1.1836775471806544,0.0,1.1836775471806544,0.39501953125,2.134181660920386,3
Axial MG,1,1.1831061413414883,0.0,1.1831061413414883,0.43798828125,2.1640641814787203,2
"volumes, released from May",1,1.1829500548196796,0.0,1.1829500548196796,0.577392578125,2.0315938870491985,4
ique. In Guthrie,1,1.1822472785866245,0.0,1.1822472785866245,0.37744140625,2.184316926935311,3
headquarter,2,1.182082771309759,0.023084412958281897,1.205167184268041,0.3232421875,2.2162237739775223,1
apalle (Telugu,1,1.180683364646265,0.0,1.180683364646265,0.43310546875,2.1122919077094124,2
